disease,fatal,non-fatal,fatal-and-non-fatal
all-cause-cancer,27.0259223300971,NA,33.510305343511455
all-cause-cvd,26.771865671641784,NA,26.038343558282207
all-cause-dementia,NA,16.316666666666663,18.515820895522385
all-cause-mortality,13.636651162790706,NA,13.636651162790706
alzheimer's-disease,NA,24.00625,21.20357142857143
bladder-cancer,NA,NA,15.01375
breast-cancer,19.665263157894728,NA,33.25496062992126
colon-cancer,NA,NA,26.671851851851837
coronary-heart-disease,17.855932203389823,NA,25.140862068965514
depression,NA,19.940967741935488,19.940967741935488
depressive-symptoms,NA,18.815384615384623,18.815384615384623
endometrial-cancer,NA,NA,30.69857142857143
esophageal-cancer,NA,NA,30.06896551724138
gastric-cardia-cancer,NA,NA,33.15549999999999
head-and-neck-cancer,NA,NA,16.62823529411765
heart-failure,NA,NA,32.48699999999999
kidney-cancer,NA,NA,22.32642857142857
liver-cancer,NA,NA,30.034615384615385
lung-cancer,35.60454545454547,NA,22.106031746031743
major-depression,NA,20.04608695652174,20.04608695652174
myeloid-leukemia,NA,NA,14.775714285714283
myeloma,NA,NA,30.088124999999998
parkinson's-disease,NA,20.31384615384615,20.384000000000004
prostate-cancer,22.32380952380952,NA,37.96538461538461
rectum-cancer,NA,NA,24.279836065573775
stroke,16.439333333333316,NA,21.006964285714286
vascular-dementia,NA,NA,22.284000000000002
