outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
heart-failure,11,346,0.66,(0.52 - 0.85),0.49,(0.33 - 0.74),0.33,0.74,0.41,(0.26 - 0.64)
heart-failure,10,120,0.9,(0.67 - 1.2),0.74,(0.35 - 1.55),0.35,1.55,0.62,(0.29 - 1.32)
heart-failure,9,273,0.97,(0.88 - 1.07),0.95,(0.82 - 1.09),0.82,1.09,0.89,(0.77 - 1.03)
heart-failure,8,220,0.93,(0.84 - 1.03),0.89,(0.79 - 1),0.79,1,0.82,(0.75 - 0.9)
heart-failure,7,197,0.96,(0.94 - 0.99),0.93,(0.88 - 0.98),0.88,0.98,0.87,(0.79 - 0.96)
heart-failure,6,182,0.94,(0.86 - 1.02),0.88,(0.75 - 1.04),0.75,1.04,0.8,(0.6 - 1.06)
heart-failure,5,55,0.94,(0.9 - 0.99),0.89,(0.81 - 0.97),0.81,0.97,0.78,(0.7 - 0.86)
heart-failure,4,30,0.9,(0.84 - 0.96),0.81,(0.71 - 0.93),0.71,0.93,0.87,(0.75 - 1.01)
heart-failure,3,27,1.01,(1 - 1.01),1.01,(1.01 - 1.02),1.01,1.02,1.02,(1.02 - 1.03)
heart-failure,2,20,0.94,(0.92 - 0.96),0.83,(0.77 - 0.89),0.77,0.89,0.72,(0.66 - 0.79)
heart-failure,1,14,0.7,(0.62 - 0.79),0.64,(0.57 - 0.72),0.57,0.72,0.62,(0.54 - 0.71)
